"ID","Source","Severity","Start_Time","End_Time","Start_Lat","Start_Lng","End_Lat","End_Lng","Distance(mi)","Description","Street","City","County","State","Zipcode","Country","Timezone","Airport_Code","Weather_Timestamp","Temperature(F)","Wind_Chill(F)","Humidity(%)","Pressure(in)","Visibility(mi)","Wind_Direction","Wind_Speed(mph)","Precipitation(in)","Weather_Condition","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Turning_Loop","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight"
"A-1174880","Source2",3,"2021-01-29 08:40:38","2021-01-29 12:32:30","31.603359","-97.107079",NULL,NULL,"0.0","Right lane blocked due to accident on I-35 Southbound at TX-Loop-340.","I-35 S","Waco","McLennan","TX","76705","US","US/Central","KCNW","2021-01-29 08:55:00","43.0","39.0","81.0","29.8","10.0","S","7.0",NULL,"Fair",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-1178427","Source2",3,"2021-01-27 13:02:28","2021-01-27 13:47:00","31.5432","-97.126778",NULL,NULL,"0.0","One lane blocked due to accident on I-35 Northbound at 11th St.","S 11th St","Waco","McLennan","TX","76706","US","US/Central","KCNW","2021-01-27 12:55:00","54.0","54.0","47.0","29.82","10.0","NNW","17.0",NULL,"Fair",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-1524008","Source2",2,"2020-03-11 14:27:01","2020-03-11 17:17:48","31.584742","-97.109299",NULL,NULL,"0.0","Accident on I-35 Southbound at US-84.","E Waco Dr","Waco","McLennan","TX","76705","US","US/Central","KCNW","2020-03-11 14:55:00","81.0","81.0","58.0","29.49","10.0","SSW","12.0",NULL,"Partly Cloudy",False,False,False,False,False,False,False,False,False,False,False,True,False,"Day","Day","Day","Day"
"A-1525924","Source2",3,"2020-03-12 12:38:23","2020-03-12 14:02:01","31.5432","-97.126778",NULL,NULL,"0.0","One lane blocked due to accident on I-35 Southbound at 11th St.","S 11th St","Waco","McLennan","TX","76706","US","US/Central","KCNW","2020-03-12 12:55:00","75.0","75.0","69.0","29.39","10.0","S","15.0",NULL,"Fair",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-1575354","Source2",2,"2020-01-04 16:58:17","2020-01-04 18:17:17","31.526528999999996","-97.013573",NULL,NULL,"0.0","Roadway reduced to one lane due to accident on TX-6 Northbound at FM-1860 Lake Creek Rd.","E State Highway 6","Waco","McLennan","TX","76705-5023","US","US/Central","KCNW","2020-01-04 16:55:00","64.0","64.0","30.0","29.79","10.0","NE","3.0",NULL,"Fair",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-1620555","Source2",3,"2020-01-30 14:27:31","2020-01-30 16:27:26","31.5432","-97.126778",NULL,NULL,"0.0","Accident on I-35 SVC Rd Northbound at 11th St.","S 11th St","Waco","McLennan","TX","76706","US","US/Central","KCNW","2020-01-30 14:55:00","45.0","42.0","81.0","29.56","10.0","NNE","5.0",NULL,"Cloudy",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-1647053","Source2",4,"2020-02-13 04:14:40","2020-02-13 07:41:53","31.51391","-97.139488",NULL,NULL,"1.6299999952316284","Main roadway closed due to accident on I-35 Northbound between Exit 330A and Exit 331 Jack Kultgen Expy.","I-35 N","Waco","McLennan","TX","76706","US","US/Central","KCNW","2020-02-13 06:55:00","37.0","31.0","100.0","29.7","10.0","NNW","9.0",NULL,"Fair",False,False,False,False,False,False,False,False,False,False,False,False,False,"Night","Night","Night","Night"
"A-1647116","Source2",3,"2020-02-13 15:23:25","2020-02-13 16:07:57","31.524719","-97.133186",NULL,NULL,"0.0","#2 lane blocked due to accident on I-35 Northbound at US-77 Robinson Dr .","Interstate 35 S","Waco","McLennan","TX","76706-3813","US","US/Central","KCNW","2020-02-13 14:55:00","46.0","41.0","66.0","29.78","10.0","NNW","13.0",NULL,"Cloudy",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-1685875","Source2",4,"2019-12-31 08:42:53","2019-12-31 12:18:00","31.57937","-97.110939",NULL,NULL,"4.179999828338623","Main roadway closed due to accident on I-35 Northbound between Exit 334B and Exit 338A.","I-35 N","Waco","McLennan","TX","76705","US","US/Central","KCNW","2019-12-31 08:55:00","37.0","37.0","75.0","29.81","10.0","CALM","0.0",NULL,"Fair",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-1790315","Source2",3,"2019-10-31 15:43:27","2019-10-31 17:42:58","31.614340000000002","-97.102333",NULL,NULL,"0.0","Accident on I-35 Southbound at Meyers Ln.","Interstate 35 N","Waco","McLennan","TX","76705","US","US/Central","KCNW","2019-10-31 15:55:00","50.0","50.0","37.0","29.89","10.0","N","12.0",NULL,"Fair",False,False,False,False,False,False,False,False,False,True,False,False,False,"Day","Day","Day","Day"
